"Sunset in Kahalu'u Beach Park, Big Island, Hawaii","",,
"Couple watching susnet in Big Island, Hawaii","",,
Lunar eclipse and the Golden Gate Bridge,"",,
"San francisco downtown, bay bridge red sunset","",,
"Golden gate bridge, golden park, richmond district (BW)","",,
Market Street and downtown San Francisco (BW),"",,
"Alcatraz, Golden gate bridge and the city (BW)","",,
Golden Gate Bridge from Fort point (BW),"",,
San Francisco city and the bay bridge with fog ,"",,
San Francisco bay with fog (red skies),"",,
"San Francisco city, bay bridge and Berkeley in fog","",,
Downtown San Francisco from pier 7,"",,
Pier 7 Sunset,"",,
San Francisco city during the blue hour,"",,
"San Francisco downtown, Bay Bridge and Berekeley (red and blue skies)","",,
Mission Santa Barbara sunset,"",,
Lost in the mist of San Francisco,"",,
Martins beach sunset,"",,
San Francisco downtown and Karl,"",,
San Francisco city during the blue hour,"",,
Dell valle reservoir,"",,
Rolling hills of Livermore,"",,
Wildflowers and rolling hills of Livermore,"",,
Happy cows in Sunol,"",,
"Barn Sunrise, Livermore","",,
Rolling hills of Fremont,"",,
Lake Serburne Glacier National Park,"",,
Nymph lake,"",,
Dream Lake,"",,
Mountains along bear lake road,"",,
Bear Lake,"",,
Trees along dream lake,"",,
Emerald Lake,"",,
Eiffel tower at sunset,"",,
Red bicycle parked on a bridge over a canal in Amsterdam,"",,
Handcrafted Italian ornamental plates from Amalfi,"",,
De L'Europe Amsterdam at night,"",,
Streets of Rome,"",,
"Sanite-chapelle, Paris","",,
Looking up at the Eiffel tower through the trees,"",,
Looking up at the Eiffel tower,"",,
"A door in Amalfi, Italy is covered in a thick blanket of ivy leaves","",Europe,color
"Sparkling city of lights, Paris","",,
Serene splendor at Bylakuppe Golden Temple,"",,
Hampi pushkarni step well,"",,
"Hazara Rama Temple, Hampi","",,
